"Classic Alternative","181.FM - Highway 181 (Classic Country)","http://108.61.73.117:8018"
"Classic Christian","181.FM - Highway 181 (Classic Country)","http://108.61.73.115:8018"
"Classic Country","181.FM - Highway 181 (Classic Country)","http://108.61.73.119:8018"
"Pop Reggae","181.FM - Kickin' Country - Today's BEST Country!","http://108.61.73.115:8130"
"Country Blues","181.FM - Kristmas Kountry (Hot Country Christmas)","http://108.61.73.117:8084"
"Christmas","181.FM - Kristmas Kountry (Hot Country Christmas)","http://108.61.73.115:8084"
"Hip Hop","181.FM - Old School Hip Hop & RNB","http://108.61.73.118:8068"
"Oldies","181.FM - Old School Hip Hop & RNB","http://108.61.73.115:8068"
"Oldies","181.FM - Old School Hip Hop & RNB","http://108.61.73.120:8068"
"Oldies","181.FM - Old School Hip Hop & RNB","http://108.61.73.117:8068"
"Top 40","181.FM - PARTY 181 -=- Your Official Party Station!","http://108.61.73.115:8036"
"Top 40","181.FM - POWER 181 -=[: The Hitz Channel :]=- www.181.fm","http://108.61.73.119:8128"
"Top 40","181.FM - POWER 181 -=[: The Hitz Channel :]=- www.181.fm","http://108.61.73.118:8128"
"Rock & Roll","181.fm - Rock 181 (Active Rock)","http://108.61.73.119:8008"
